number,status,play number,score,year,topic
763,20,3.4y,7.9,2017,2
764,20,1.6y,8,2017,2
765,40,4.4y,7,2017,2
766,29,4.4y,7.2,2017,2
767,29,2.8y,7.4,2017,2
768,12,1.7y,8.8,2017,2
769,22,5.7y,6.4,2017,2
770,32,5.4y,6.6,2017,2
771,9,2.4y,9.3,2017,2
772,16,1.8y,6.3,2017,2
773,19,2.2y,7.4,2017,2
774,18,6.1y,8,2017,2
775,36,2.1y,7.4,2017,2
776,25,3.5y,7.9,2017,2
777,18,2.3y,7.4,2017,2
778,54,1.2y,6.2,2017,2
779,3,6356.7w,8,2017,2
780,18,5.4y,8,2017,2
781,7,2823.3w,9,2017,2
782,5,9296.5w,7.3,2017,2
783,8,834.1w,7.4,2017,2
784,30,1959.5w,8.6,2017,2
785,,2.2y,7.3,2017,2
786,10,336.7w,9.1,2017,2
787,16,1.4y,8.1,2017,2
788,5,6548.4w,8.5,2017,2
789,24,8521.4w,7.3,2017,2
790,4,1050.6w,7.2,2017,2
